Funds,FundManager,Category,RupeeVestRating,AUM,ExpenseRatio,FundType,InceptionDate,BenchmarkIndex, NAV , 52WeekHigh, 52WeekLow,Return1mo,Return3mo,Return6mo,Return1yr,Return2yrs,Return3yrs,Return5yrs,Return10yrs,TurnoverRatio, NoofStocks,AvgMarketCap,LargeCap,MidCap,SmallCap,HighestSector,AvgMaturity,ModDuration,YieldToMaturity,Alpha,Sharpe,Sortino,Beta,StandardDeviation,classification,ExitloadRemarks
Indiabulls Liquid Fund(G),Karan Singh,DT-LIQ,2,108.9,0.22,Open Ended,25-Oct-11,Crisil Liquid Fund Index,1992.25,1992.25,1928.51,0.25,0.88,1.61,3.28,4.64,5.54,6.16,-,0,4,-,-,-,-,-,0.1,0.1,3.18,-0.5,-5.57,-7.62,-,0.09,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Indiabulls Nifty 50 ETF,Rajeev Desai,EQ-ETF,Unrated,15.9,0.12,Open Ended,30-Apr-19,NIFTY 50 - TRI,149.31,157.38,90.02,-3.42,-0.14,21.43,63.16,-,-,-,-,7,51,350942,99.81,-,-,Financials,-,-,-,5.44,2.66,4.38,0.96,20.13,Equity : ETFs,null
Indiabulls Overnight Fund-Reg(G),Karan Singh,DT-ON,Unrated,72.7,0.22,Open Ended,8-Jul-19,CRISIL Overnight Index,1066.58,1066.58,1036.7,0.25,0.72,1.42,2.89,-,-,-,-,0,-,-,-,-,-,-,-,-,3.24,-0.81,-85.23,-13.8,-,0.01,Debt : Overnight,Nil
Indiabulls Savings Fund-Reg(G),Karan Singh,DT-MM,Unrated,0.8,0.22,Open Ended,19-Sep-18,CRISIL Money Market Index,1173.11,1173.11,1116.18,0.18,3.25,3.9,5.54,6.43,-,-,-,0,-,-,-,-,-,-,-,-,3.23,2.82,1.56,11.21,-,1.81,Debt : Money Market,Nil
Indiabulls Savings Income Fund-Reg(G),Rajeev Desai,HY-DT(CO),Unrated,11.7,2,Open Ended,2-Dec-15,CRISIL Hybrid 75+25 - Conservative Index,15.19,15.62,13.44,-1.79,0.24,6.78,13.03,6.08,5.62,8.27,-,0,3,558481,10.31,-,-,Financials,2,0.39,3.41,10.99,2.19,3.98,-,5.06,Hybrid : Debt Oriented (Conservative),Nil
Indiabulls Short Term Fund(G),Karan Singh,DT-SD,Unrated,26.2,1.43,Open Ended,13-Sep-13,Crisil Short Term Bond Fund Index,1695.09,1695.77,1614.79,0.5,0.1,1.41,5.3,4.48,5.59,6.19,-,0,-,-,-,-,-,-,1.97,-,4.6,2.57,2.1,3.95,-,1.22,Debt : Short Duration,Nil
Indiabulls Tax Savings Fund-Reg(G),Rajeev Desai,EQ-ELSS,Unrated,54.3,2.25,Open Ended,28-Dec-17,S&P BSE 500 - TRI,11.22,11.82,7.55,-4.1,-2.18,17.36,45.71,7.74,4.26,-,-,38,36,178788,76.1,11.04,2.85,Financials,-,-,-,3.3,2.46,3.96,0.76,16.91,Equity : Tax Saving (ELSS),Nil
Indiabulls Ultra Short Term Fund(G),Karan Singh,DT-USD,Unrated,18.1,0.66,Open Ended,6-Jan-12,CRISIL Ultra Short Term Debt Index,2021.64,2021.64,1943.04,0.24,0.83,1.48,4.17,5.58,6.23,6.81,-,0,-,-,-,-,-,-,-,-,3.23,1.41,2.48,6.31,-,0.57,Debt : Ultra Short Duration,Nil
Indiabulls Value Fund-Reg(G),Rajeev Desai,EQ-VAL,Unrated,14.2,2.3,Open Ended,7-Sep-15,S&P BSE 500 - TRI,13.94,14.66,9.06,-3.43,-0.56,23.3,52.26,8.15,1.2,7.44,-,27,24,163016,69.76,6.89,2.62,Financials,-,-,-,7.36,2.63,4.29,0.79,17.72,Equity : Value / Contra,1% on or before 1Y Nil after 1Y
Invesco India Arbitrage Fund(G),Rajeev Bhardwaj,HY-ARB,3,569.9,1,Open Ended,30-Apr-07,Nifty 50 Arbitrage Index,24.79,24.8,23.91,0.47,1,1.69,3.63,4.87,5.05,5.45,6.73,1121,40,170656,57.38,8.73,-,Financials,-,-,-,0.73,0.58,0.97,-,1.15,Hybrid : Arbitrage,0.50% on or before 15D Nil after 15D
Invesco India Banking & PSU Debt Fund(G),Vikas Garg,DT-B&PSU,2,140.5,0.65,Open Ended,29-Dec-12,CRISIL Banking and PSU Debt Index,1814.62,1814.62,1642.49,2.79,0.34,1.9,10.93,8.22,8.11,7.44,-,0,-,-,-,-,-,-,8.83,6.25,7.02,7.81,2.14,3.98,-,3.66,Debt : Banking & PSU,NIL
Invesco India Contra Fund(G),Taher Badshah,EQ-VAL,4,6476.5,1.85,Open Ended,11-Apr-07,S&P BSE 500 - TRI,61.74,66.17,38.58,-4.93,-1.94,22.02,59.58,12.52,9.69,15.29,14.05,69,46,104814,69.67,15.25,13.01,Financials,-,-,-,9.02,2.75,4.47,0.87,19.02,Equity : Value / Contra,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Corporate Bond Fund(G),Vikas Garg,DT-CORP,3,2914.4,0.6,Open Ended,2-Aug-07,CRISIL AAA Short Term Bond Index,2485.78,2486.47,2283.24,0.87,0.43,1.8,9.01,8.9,8.2,7.48,7.89,0,-,-,-,-,-,-,2.25,1.97,5.16,6,4.08,7.11,-,1.49,Debt : Corporate Bond,Nil
Invesco India Credit Risk Fund(G),Vikas Garg,DT-CR,2,129.5,1.5,Open Ended,4-Sep-14,CRISIL Composite AA Short Term Bond Index,1447.01,1447.01,1354.76,0.98,0.26,1.29,6.92,4.35,1.77,4.39,-,0,-,-,-,-,-,-,2.79,2.26,5.42,4.01,3.35,5.89,-,1.21,Debt : Credit Risk,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Dynamic Equity Fund(G),Pranav Gokhale,HY-DYN,3,647.2,2.44,Open Ended,4-Oct-07,CRISIL Hybrid 35+65 - Aggressive Index,33.16,33.9,25.67,-0.6,-1.78,10.42,28.23,7.26,4.71,9.73,9.91,317,22,132325,46.01,8.83,0.15,Financials,-,-,-,24.82,2.41,3.92,-,10.38,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 0.25% for above the limits on or before 3M Nil after 3M
Invesco India Equity & Bond Fund-Reg(G),Taher Badshah,HY-EQ,Unrated,355.7,2.46,Open Ended,30-Jun-18,CRISIL Hybrid 35+65 - Aggressive Index,12.48,12.98,9,-2.51,-0.63,13.24,36.35,8.92,-,-,-,163,42,73267,39.29,27.73,1.94,Financials,2.67,2.12,4.83,33.14,2.61,4.18,-,12.85,Hybrid : Equity Oriented,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Equity Savings Fund-Reg(G),Amit Nigam,HY-EQ,Unrated,118.7,2.64,Open Ended,7-Mar-19,NIFTY 50 Equity Savings Index,11.62,11.73,9.89,-0.77,0.5,5.86,16.7,6.96,-,-,-,0,51,167452,58.8,5.3,3.12,Financials,0.38,0.35,3.89,14.49,2.41,3.91,-,6.04,Hybrid : Equity Oriented,0.25% on or before 1M Nil after 1M
Invesco India ESG Equity Fund-Reg(G),Taher Badshah,EQ-THEM,Unrated,575.4,-,Open Ended,20-Mar-21,NIFTY100 Enhanced ESG - TRI,9.89,10.08,9.88,-,-,-,-,-,-,-,-,-,21,106246,24.98,4.92,5.3,Technology,-,-,-,-,-,-,-,-,Equity : Thematic,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Invesco India Financial Services Fund(G),Dhimant Kothari,EQ-FIN,4,292.8,2.46,Open Ended,14-Jul-08,Nifty Financial Services - TRI,64.34,73.36,39.25,-9.33,-4.3,23.4,50.82,5.28,7.13,14.85,11.63,34,25,150678,78.8,6.12,13.1,Financials,-,-,-,-14.49,1.7,2.85,1.25,28.25,Equity : Sectoral - Financial Services,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India FMP-30-A(1223D)(G),Krishna Cheemalapati,DT-FMP,Unrated,140.5,-,Closed Ended,22-Dec-17,Crisil Composite Bond Fund Index,12.62,12.62,11.88,0.3,0.83,1.77,6.32,7.45,7.33,-,-,0,-,-,-,-,-,-,2.42,-,-,3.4,5.87,14.49,-,0.58,Debt : FTP/FMP,null
Invesco India FMP-30-C(1181D)(G),Krishna Cheemalapati,DT-FMP,Unrated,152.6,-,Closed Ended,2-Feb-18,Crisil Composite Bond Fund Index,12.64,12.64,11.87,0.3,0.84,1.83,6.64,7.72,7.52,-,-,0,-,-,-,-,-,-,2.5,-,-,3.73,5.88,14.56,-,0.63,Debt : FTP/FMP,null
Invesco India FMP-30-D(1169D)(G),Krishna Cheemalapati,DT-FMP,Unrated,262.1,-,Closed Ended,6-Mar-18,Crisil Composite Bond Fund Index,12.61,12.61,11.84,0.3,0.85,1.86,6.68,7.75,7.57,-,-,0,-,-,-,-,-,-,2.5,-,-,3.73,5.83,13.84,-,0.64,Debt : FTP/FMP,null
Invesco India FMP-31-A(1150D)(G),Krishna Cheemalapati,DT-FMP,Unrated,252.8,-,Closed Ended,13-Mar-18,Crisil Composite Bond Fund Index,12.55,12.55,11.77,0.3,0.85,1.87,6.73,7.76,7.59,-,-,0,-,-,-,-,-,-,2.5,-,-,3.81,5.91,14.2,-,0.64,Debt : FTP/FMP,null
Invesco India FMP-31-B(1143D)(G),Krishna Cheemalapati,DT-FMP,Unrated,234.3,-,Closed Ended,20-Mar-18,Crisil Composite Bond Fund Index,12.47,12.47,11.7,0.31,0.86,1.86,6.64,7.61,7.45,-,-,0,-,-,-,-,-,-,2.52,-,-,3.73,5.82,13.63,-,0.64,Debt : FTP/FMP,null
Invesco India FMP-31-D(1468D)(G),Krishna Cheemalapati,DT-FMP,Unrated,81.5,-,Closed Ended,13-Jun-18,Crisil Composite Bond Fund Index,13.01,13.01,11.87,0.73,1.04,2.59,9.8,9.42,-,-,-,0,-,-,-,-,-,-,3.59,-,-,6.63,5.3,10.7,-,1.26,Debt : FTP/FMP,null
Invesco India FMP-32-A(1105D)(G),Krishna Cheemalapati,DT-FMP,Unrated,203.9,-,Closed Ended,26-Jun-18,Crisil Composite Bond Fund Index,12.53,12.53,11.69,0.36,0.93,1.94,7.28,7.89,-,-,-,0,-,-,-,-,-,-,2.61,-,-,4.33,6.6,16.91,-,0.66,Debt : FTP/FMP,null
Invesco India FMP-32-B(1100D)(G),Krishna Cheemalapati,DT-FMP,Unrated,155,-,Closed Ended,29-Jun-18,Crisil Composite Bond Fund Index,12.49,12.49,11.67,0.36,0.92,1.94,7.17,7.84,-,-,-,0,-,-,-,-,-,-,2.58,-,-,4.23,6.58,16.53,-,0.64,Debt : FTP/FMP,null
Invesco India FMP-32-C(1099D)(G),Krishna Cheemalapati,DT-FMP,Unrated,64.1,-,Closed Ended,27-Jul-18,Crisil Composite Bond Fund Index,12.5,12.5,11.6,0.42,0.99,2.17,7.98,8.32,-,-,-,0,-,-,-,-,-,-,2.75,-,-,5.01,6.92,17.01,-,0.73,Debt : FTP/FMP,null
Invesco India FMP-32-D(1099D)(G),Krishna Cheemalapati,DT-FMP,Unrated,50,-,Closed Ended,24-Aug-18,Crisil Composite Bond Fund Index,12.47,12.47,11.58,0.41,0.95,2.15,7.83,8.27,-,-,-,0,-,-,-,-,-,-,2.79,-,-,4.86,6.55,17.06,-,0.74,Debt : FTP/FMP,null
Invesco India FMP-32-E(1099D)(G),Krishna Cheemalapati,DT-FMP,Unrated,126.2,-,Closed Ended,14-Sep-18,Crisil Composite Bond Fund Index,12.5,12.5,11.61,0.41,0.91,2.11,7.88,8.27,-,-,-,0,-,-,-,-,-,-,2.6,-,-,4.91,6.24,15.29,-,0.79,Debt : FTP/FMP,null
Invesco India FMP-33-B(1311D)(G),Krishna Cheemalapati,DT-FMP,Unrated,27.8,-,Closed Ended,27-Sep-18,Crisil Composite Bond Fund Index,12.73,12.73,11.63,0.64,1.09,2.57,9.63,9.2,-,-,-,0,-,-,-,-,-,-,-,-,-,6.48,5.51,11.66,-,1.18,Debt : FTP/FMP,null
Invesco India FMP-33-D(1273D)(G),Krishna Cheemalapati,DT-FMP,Unrated,125,-,Closed Ended,12-Dec-18,Crisil Composite Bond Fund Index,12.44,12.44,11.38,0.67,0.9,2.27,9.46,9.25,-,-,-,-,-,-,-,-,-,-,-,-,-,6.35,5.25,10.31,-,1.22,Debt : FTP/FMP,null
Invesco India Focused 20 Equity Fund-Reg(G),Taher Badshah,EQ-MLC,Unrated,967.3,2.32,Open Ended,29-Sep-20,S&P BSE 500 - TRI,12.11,12.89,9.95,-4.8,-1.62,19.31,-,-,-,-,-,-,20,97993,68.4,14.93,12.22,Financials,-,-,-,-,-,-,-,-,Equity : Multi Cap,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Invesco India Gilt Fund(G),Vikas Garg,DT-GILT,Unrated,29,1.25,Open Ended,9-Feb-08,Crisil 10 Yr Gilt Index,2251.12,2273.64,2134.1,1.68,-0.58,0.33,6.1,8.1,7.74,7.45,7.3,0,-,-,-,-,-,-,5.44,3.67,4.97,3.53,0.94,1.57,-,3.71,Debt : Gilt,Nil
Invesco India Growth Opp Fund(G),Taher Badshah,EQ-L&M,4,3650.5,1.91,Open Ended,9-Aug-07,S&P BSE 250 LargeMidCap 65:35 Index - TRI,42.77,45.31,27.58,-4.02,-0.81,19.24,50.97,11.36,8.69,14.07,12.35,119,42,73454,56.01,39.39,2.75,Financials,-,-,-,6.55,2.6,4.15,0.79,17.67,Equity : Large & Mid Cap,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Infrastructure Fund(G),Amit Nigam,EQ-INFRA,Unrated,109.8,2.48,Open Ended,24-Oct-07,S&P BSE India Infrastructure Index - TRI,22.88,23.89,14.44,-3.34,6.67,37.91,59.33,15.13,8.16,12.84,10.69,51,35,18907,25.9,28.1,43.64,Infrastructure,-,-,-,21.77,2.96,4.94,0.64,18.2,Equity : Sectoral - Infrastructure,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Largecap Fund(G),Amit Nigam,EQ-LC,3,290.7,2.44,Open Ended,21-Aug-09,NIFTY 50 - TRI,34.84,36.99,23.07,-4.18,-1.25,14.98,48.63,9.46,8.34,11.57,10.55,83,32,177123,78.74,12.53,7.74,Financials,-,-,-,2.34,2.45,4.05,0.84,18.11,Equity : Large Cap,Nil 
Invesco India Liquid Fund(G),Krishna Venkat Cheemalapati,DT-LIQ,2,5451.8,0.22,Open Ended,17-Nov-06,Crisil Liquid Fund Index,2813.56,2813.56,2720.22,0.28,0.78,1.54,3.44,4.65,5.58,6.15,7.6,0,-,-,-,-,-,-,0.1,0.1,3.25,-0.4,-6.58,-6.53,-,0.06,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Invesco India Midcap Fund(G),Pranav Gokhale,EQ-MID,4,1389.3,2.24,Open Ended,19-Apr-07,Nifty Midcap 100 - TRI,67.43,71.07,40.91,-4.21,2.82,27.06,64.91,17.32,11.4,15.33,16.77,79,45,23704,16.16,70.95,11.26,Automobile and Ancillaries,-,-,-,22.4,3.16,5.13,0.65,17.42,Equity : Mid Cap,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Money Market Fund(G),Krishna Cheemalapati,DT-MM,2,1066.4,0.55,Open Ended,28-Aug-09,CRISIL Money Market Index,2394.3,2394.41,2276.08,0.45,0.92,1.75,5.25,5.73,6.4,6.66,8.09,0,-,-,-,-,-,-,0.63,0.6,3.91,2.44,4.31,10.09,-,0.57,Debt : Money Market,Nil
Invesco India Multicap Fund(G),Pranav Gokhale,EQ-MLC,2,1171.1,2.26,Open Ended,17-Mar-08,S&P BSE AllCap - TRI,61.13,64.47,38.14,-3.63,1.9,26.75,59.65,13.46,6.28,12.48,15.65,94,42,35005,36.85,31.22,29.27,Financials,-,-,-,14.06,2.9,4.74,0.75,17.77,Equity : Multi Cap,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Nifty ETF,Kuber Mannadi,EQ-ETF,Unrated,51.9,0.1,Open Ended,16-Jun-11,NIFTY 50 - TRI,1567.79,1652.98,946.47,-3.47,-0.2,22.01,62.49,11.9,12.57,14.31,-,1,51,350225,99.96,-,-,Financials,-,-,-,4.69,2.62,4.32,0.97,20.33,Equity : ETFs,Nil
Invesco India Overnight Fund-Reg(G),Krishna Cheemalapati,DT-ON,Unrated,809,0.15,Open Ended,8-Jan-20,CRISIL Overnight Index,1040.88,1040.88,1010.99,0.26,0.74,1.46,2.97,-,-,-,-,0,-,-,-,-,-,-,-,-,3.23,-0.76,-78.4,-12.49,-,0.01,Debt : Overnight,Nil
Invesco India PSU Equity Fund(G),Nitin Gosar,EQ-THEM,4,227.6,2.53,Open Ended,18-Nov-09,S&P BSE PSU - TRI,20.96,22.87,15.26,-6.09,2,25.96,29.22,8.8,4.81,9.9,6.58,51,22,35945,44.43,32.35,19.76,Energy,-,-,-,-2.17,1.6,2.52,0.67,19.78,Equity : Thematic,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Short Term Fund(G),Vikas Garg,DT-SD,3,1175.2,1.25,Open Ended,24-Mar-07,Crisil Short Term Bond Fund Index,2831.46,2839.5,2626.79,0.79,0.06,1.55,8.06,7.97,7.43,7.21,8,0,-,-,-,-,-,-,2.62,2.27,5.26,5.09,2.82,5.06,-,1.82,Debt : Short Duration,Nil
Invesco India Smallcap Fund-Reg(G),Taher Badshah,EQ-SML,Unrated,882.4,2.31,Open Ended,30-Oct-18,S&P BSE 250 Small Cap - TRI,15.29,15.92,8.48,-2.74,10.48,35.67,78.83,19.74,-,-,-,64,46,7514,-,23.12,74.05,Capital Goods,-,-,-,32.1,3.38,5.85,0.64,18.96,Equity : Small Cap,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Tax Plan(G),Amit Nigam,EQ-ELSS,4,1512.4,2.18,Open Ended,29-Dec-06,S&P BSE 200 - TRI,66.4,69.93,41.88,-4.1,0.03,21.23,55.61,13.62,10.45,14.08,14.04,91,38,115098,65.33,20.59,11.97,Financials,-,-,-,7.53,2.72,4.43,0.82,17.9,Equity : Tax Saving (ELSS),Nil
Invesco India Treasury Advantage Fund(G),Krishna Cheemalapati,DT-LOWD,5,3235.9,0.65,Open Ended,18-Jan-07,CRISIL Ultra Short Term Debt Index,2968.92,2968.92,2787.93,0.51,0.82,1.86,6.6,7.09,7.29,7.24,8.14,0,-,-,-,-,-,-,0.87,0.8,4.19,3.7,5.71,13.44,-,0.65,Debt : Low Duration,Nil
Invesco India Ultra Short Term Fund(G),Krishna Cheemalapati,DT-USD,3,721.2,0.89,Open Ended,30-Dec-10,Crisil Liquid Fund Index,2131.88,2131.88,2040.48,0.32,0.74,1.52,4.52,5.56,6.24,6.84,7.62,0,-,-,-,-,-,-,0.35,0.34,3.71,1.74,4.73,12.93,-,0.36,Debt : Ultra Short Duration,Nil
ITI Arbitrage Fund-Reg(G),George Heber Joseph,HY-ARB,Unrated,67.8,1,Open Ended,9-Sep-19,Nifty 50 Arbitrage Index,10.53,10.53,10.25,0.39,0.71,1.15,2.69,-,-,-,-,0,27,213264,66.97,0.85,-,Technology,0.05,0.05,3.5,-0.38,-0.33,-0.54,-,1.17,Hybrid : Arbitrage,0.25% on or before 30D NIL after 30D
ITI Balanced Advantage Fund-Reg(G),George Heber Joseph,HY-DYN,Unrated,191.3,2.5,Open Ended,31-Dec-19,NIFTY 50 Hybrid Composite Debt 50:50 Index,9.35,9.61,7.8,-1.18,1.27,8.11,17.1,-,-,-,-,0,60,108175,53.2,1.93,6.83,Financials,1.71,1.5,4.65,20.49,1.44,2.2,-,14.34,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 1% for Excess units on or before 12M Nil after 12M
ITI Banking & PSU Debt Fund-Reg(G),George Heber Joseph,DT-B&PSU,Unrated,31.8,0.81,Open Ended,22-Oct-20,CRISIL Banking and PSU Debt Index,10.18,10.18,10,1.09,0.64,-,-,-,-,-,-,0,-,-,-,-,-,-,1.25,1.13,4.41,-,-,-,-,-,Debt : Banking & PSU,Nil
ITI Large Cap Fund-Reg(G),George Heber Joseph,EQ-LC,Unrated,190.4,2.52,Open Ended,24-Dec-20,NIFTY 100 - TRI,10.54,11.26,10,-4.43,1.1,-,-,-,-,-,-,-,34,216135,94.69,4.31,-,Financials,-,-,-,-,-,-,-,-,Equity : Large Cap,1% on or before 12M Nil after 12M
ITI Liquid Fund-Reg(G),George Heber Joseph,DT-LIQ,Unrated,137,0.23,Open Ended,24-Apr-19,Crisil Liquid Fund Index,1078.87,1078.87,1049.08,0.25,0.71,1.41,2.85,-,-,-,-,0,-,-,-,-,-,-,0.01,0.01,3.11,-0.83,-66.5,-15.28,-,0.01,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
ITI Long Term Equity Fund-Reg(G),George Heber Joseph,EQ-ELSS,Unrated,75.5,2.55,Open Ended,18-Oct-19,NIFTY 500 - TRI,12.7,13.29,7.74,-3.02,2.79,25.62,62.1,-,-,-,-,-,97,38559,45.02,25.89,25.16,Financials,-,-,-,16.18,2.93,4.53,0.76,18.52,Equity : Tax Saving (ELSS),Nil
ITI Mid Cap Fund-Reg(G),George Heber Joseph,EQ-MID,Unrated,252.9,-,Open Ended,5-Mar-21,Nifty Midcap 100 - TRI,9.83,10.04,9.82,-1.54,-,-,-,-,-,-,-,-,53,19367,0.29,35.43,1.01,Financials,-,-,-,-,-,-,-,-,Equity : Mid Cap,1% on or before 12M Nil after 12M
ITI Multi-Cap Fund-Reg(G),George Heber Joseph,EQ-MLC,Unrated,205.9,2.63,Open Ended,15-May-19,NIFTY 500 Multicap 50:25:25 TRI,12.74,13.39,8.17,-3.05,4.56,29.74,52.8,-,-,-,-,229,110,30693,41.55,28.16,28.68,Financials,-,-,-,11.82,2.62,4.04,0.74,18.72,Equity : Multi Cap,1% on or before 12M Nil after 12M
ITI Overnight Fund-Reg(G),George Heber Joseph,DT-ON,Unrated,16.5,0.18,Open Ended,24-Oct-19,CRISIL Overnight Index,1050.2,1050.2,1020.82,0.25,0.71,1.41,2.89,-,-,-,-,0,-,-,-,-,-,-,-,-,3.11,-0.81,-70.84,-13.89,-,0.01,Debt : Overnight,Nil
ITI Small Cap Fund-Reg(G),George Heber Joseph,EQ-SML,Unrated,315,2.51,Open Ended,17-Feb-20,Nifty Smallcap 100 - TRI,12.49,13.02,6.75,-2.72,4.92,31.86,82.12,-,-,-,-,-,86,4061,-,5.51,92.16,Healthcare,-,-,-,32.94,3.3,5.29,0.69,20.37,Equity : Small Cap,1% on or before 12M Nil after 12M
JM Arbitrage Fund(G),Asit Bhandarkar,HY-ARB,2,54.7,-,Open Ended,18-Jul-06,Nifty 50 Arbitrage Index,26.04,26.05,25.5,0.35,0.61,1.02,2.03,3.58,4.07,4.78,6.53,481.55,16,161174,62.23,4.15,-,Financials,0.14,-,-,-0.86,-0.87,-1.37,-,1.04,Hybrid : Arbitrage,0.50% on or before 30D
JM Core 11 Fund(G),Asit Bhandarkar,EQ-LC,Unrated,47.7,-,Open Ended,5-Mar-08,S&P BSE SENSEX - TRI,9.9,10.67,6.44,-3.29,-3.61,25.45,43.3,2.42,4.61,12.9,9.34,21.95,11,233227,92.4,-,-,Financials,-,-,-,-6.8,1.86,3.01,0.97,22.41,Equity : Large Cap,1% on or before 60D
JM Dynamic Debt Fund-Reg(G),Vikas Agrawal,DT-DYN,Unrated,68.2,-,Open Ended,25-Jun-03,Crisil Composite Bond Fund Index,32.36,32.46,30.22,0.97,0.08,1.35,7.31,5.86,6.36,6.92,7.69,0,-,-,-,-,-,-,2.62,-,4.9,4.46,2.42,4.23,-,1.85,Debt : Dynamic Bond,Nil
JM Equity Hybrid Fund(G),Sanjay Kumar Chhabaria,HY-EQ,Unrated,7.5,-,Open Ended,1-Apr-95,CRISIL Hybrid 35+65 - Aggressive Index,57.91,59.94,32.68,-1.66,0.88,24.23,72.19,10.4,9.19,9.67,9.6,257.45,20,129312,52.99,20.34,3,Financials,-,-,-,59.42,2.31,5.74,-,25.7,Hybrid : Equity Oriented,1% on or before 60D
JM Flexicap Fund(G),Sanjay Kumar Chhabaria,EQ-MLC,4,164.4,-,Open Ended,23-Sep-08,S&P BSE 500 - TRI,41.59,43.79,25.68,-3.61,1.37,33.86,54.83,14.65,10.99,15.46,11.21,25.8,33,127243,70.76,23.04,5.05,Financials,-,-,-,3.63,2.39,3.93,0.9,20.43,Equity : Multi Cap,1% on or before 60D
JM Income Fund(G),Vikas Agrawal,DT-M&LD,Unrated,16.8,-,Open Ended,1-Feb-95,Crisil Composite Bond Fund Index,49.68,50.47,46.66,0.94,-1.13,-0.34,7.03,-0.15,1.86,3.23,5.36,0,-,-,-,-,-,-,2.69,-,4.72,4.28,1.22,2.62,-,3.45,Debt : Medium to Long Duration,Nil
JM Large Cap Fund(G),Asit Bhandarkar,EQ-LC,4,60.8,-,Open Ended,1-Apr-95,S&P BSE SENSEX - TRI,82.19,85.48,59.29,-2.51,-0.69,13.57,34.44,10.74,8.9,9.75,8.25,307.69,50,290563,81.78,-,-,Financials,-,-,-,-0.1,2.35,3.79,0.61,12.88,Equity : Large Cap,1% on or before 60D
JM Liquid Fund(G),Shalini Tibrewala,DT-LIQ,4,1216.3,-,Open Ended,31-Dec-97,Crisil Liquid Fund Index,55.95,55.95,54.13,0.29,0.8,1.54,3.37,4.65,5.6,6.17,7.61,0,-,-,-,-,-,-,0.09,-,3.41,-0.45,-11.9,-7.42,-,0.04,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
JM Low Duration Fund(G),Vikas Agrawal,DT-LOWD,2,128.5,-,Open Ended,27-Sep-06,CRISIL Low Duration Debt Index,29.23,29.23,23.19,0.39,0.66,1.6,26.24,4.84,5.62,6.29,7.74,0,-,-,-,-,-,-,0.49,-,3.69,22.88,1.14,49.66,-,20.07,Debt : Low Duration,Nil
JM Overnight Fund-Reg(G),Shalini Tibrewala,DT-ON,Unrated,69.2,-,Open Ended,3-Dec-19,CRISIL Overnight Index,1046.21,1046.21,1015.74,0.26,0.75,1.48,3.01,-,-,-,-,0,-,-,-,-,-,-,0.01,-,3.35,-0.71,-81.1,-11.72,-,0.01,Debt : Overnight,Nil
JM Tax Gain Fund(G),Sanjay Kumar Chhabaria,EQ-ELSS,Unrated,52.5,-,Open Ended,31-Mar-08,S&P BSE 500 - TRI,22.89,24.13,13.07,-3.69,0.82,28.78,67.17,15.28,11.48,16.04,12.3,12.44,36,111508,71.86,19.54,7.07,Financials,-,-,-,10.63,2.76,4.49,0.91,20.26,Equity : Tax Saving (ELSS),Nil
JM Value Fund(G),Asit Bhandarkar,EQ-VAL,4,136.6,-,Open Ended,2-Jun-97,S&P BSE 200 - TRI,41.19,43.53,23.9,-3.81,1.84,33.02,62.7,11.55,8.9,15.17,11.38,38.41,34,114471,65.66,24.73,6.88,Financials,-,-,-,7.03,2.56,4.16,0.97,21.73,Equity : Value / Contra,1% on or before 60D
Kotak Asset Allocator Fund(G),Devender Singhal,FOF-DOM,Unrated,195.2,0.7,Open Ended,9-Aug-04,NIFTY 50 Hybrid Composite Debt 50:50 Index,113.87,116.08,77.19,-0.89,2.78,16.71,47.28,18.55,14.41,12.93,11.77,0,-,-,-,-,-,-,-,-,-,40.98,3.43,5.34,-,12.03,FoFs : Domestic,1% on or before 1Y Nil after 1Y
